DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
7.0,9E,5257,2024,5,10,5,ABE,ATL,2,3,360,492,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,33.6367,-84.428101,N398CA
-7.0,G4,186,2024,5,10,5,ABE,SFB,2,3,390,534,144.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,217NV
-4.0,OH,5204,2024,5,10,5,ABE,CLT,2,3,391,500,109.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N632NN
-7.0,OO,5567,2024,5,10,5,ABE,ORD,2,3,395,483,148.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,41.9786,-87.9048,N957SW
79.0,G4,179,2024,5,10,5,ABE,PGD,2,2,450,616,166.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,242NV
68.0,G4,161,2024,5,10,5,ABE,MLB,2,2,510,682,172.0,1.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,22.8,0.0,14.8,40.651773,-75.442797,28.102009,-80.641088,220NV
5.0,OH,5052,2024,5,10,5,ABE,CLT,2,3,721,829,108.0,1.0,6.0,14.0,78.0,0.0,9.4,0.0,20.5,20.6,0.0,16.6,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N587NN
9.0,9E,5241,2024,5,10,5,ABE,ATL,2,3,744,874,130.0,1.0,7.0,-1.0,80.0,5.0,9.4,0.0,20.5,21.1,0.0,11.2,40.651773,-75.442797,33.6367,-84.428101,N313PQ
2.0,G4,171,2024,5,10,5,ABE,MYR,2,3,786,890,104.0,1.0,-4.0,-11.0,90.0,14.0,9.4,0.8,18.4,23.9,0.0,18.4,40.651773,-75.442797,33.679699,-78.928299,217NV
77.0,G4,199,2024,5,10,5,ABE,SFB,2,3,896,1040,144.0,1.0,94.0,87.0,105.0,0.0,10.0,0.0,16.6,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,242NV
49.0,G4,188,2024,5,10,5,ABE,PIE,2,3,941,1100,159.0,1.0,59.0,38.0,90.0,77.0,10.0,0.5,16.6,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,220NV
-14.0,OH,5502,2024,5,10,5,ABE,CLT,2,3,1008,1120,112.0,1.0,-2.0,-24.0,31.0,49.0,10.0,1.0,14.8,26.7,0.0,14.8,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N702PS
-10.0,OO,5717,2024,5,10,5,ABE,ORD,2,3,1050,1135,145.0,1.0,-5.0,-14.0,75.0,0.0,10.0,0.3,20.5,17.8,0.0,14.8,40.651773,-75.442797,41.9786,-87.9048,N928EV
3.0,9E,5246,2024,5,10,5,ABE,ATL,2,3,1051,1184,133.0,1.0,-1.0,-2.0,80.0,0.0,10.0,0.3,20.5,26.1,0.0,18.4,40.651773,-75.442797,33.6367,-84.428101,N303PQ
-2.0,MQ,3706,2024,5,10,5,ABI,DFW,2,3,311,371,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N798CC
-1.0,MQ,3647,2024,5,10,5,ABI,DFW,2,3,393,453,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N335JS
