DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
14.0,9E,5462,2024,9,15,7,ABE,ATL,2,3,360,492,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,33.6367,-84.428101,N391CA
-7.0,OH,5204,2024,9,15,7,ABE,CLT,2,3,365,479,114.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N611NN
-7.0,G4,181,2024,9,15,7,ABE,DEN,2,3,420,528,228.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,39.860027,-104.673792,249NV
-11.0,OH,5055,2024,9,15,7,ABE,CLT,2,3,495,609,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,20.5,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N575NN
-6.0,G4,201,2024,9,15,7,ABE,PIE,2,3,510,673,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,190NV
-10.0,G4,193,2024,9,15,7,ABE,MYR,2,3,540,641,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.4,16.6,40.651773,-75.442797,33.679699,-78.928299,195NV
63.0,G4,1310,2024,9,15,7,ABE,SFB,2,3,576,724,148.0,1.0,72.0,62.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,242NV
-13.0,OH,5154,2024,9,15,7,ABE,CLT,2,3,719,832,113.0,1.0,-3.0,-17.0,30.0,0.0,13.9,0.0,5.4,21.1,0.0,20.5,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N529EA
-5.0,9E,5241,2024,9,15,7,ABE,ATL,2,3,746,875,129.0,1.0,-2.0,-12.0,83.0,0.0,15.6,0.0,7.6,22.8,0.0,18.4,40.651773,-75.442797,33.6367,-84.428101,N306PQ
3.0,G4,351,2024,9,15,7,ABE,BNA,2,3,765,832,127.0,1.0,-7.0,4.0,90.0,0.0,15.6,0.0,7.6,22.2,0.0,11.2,40.651773,-75.442797,36.1245,-86.6782,295NV
-1.0,G4,197,2024,9,15,7,ABE,SRQ,2,3,926,1089,163.0,1.0,2.0,-15.0,90.0,0.0,22.8,0.0,9.4,30.0,0.0,14.8,40.651773,-75.442797,27.394631,-82.554359,288NV
40.0,G4,161,2024,9,15,7,ABE,MCO,2,3,957,1109,152.0,1.0,-3.0,7.0,50.0,0.0,22.8,0.0,9.4,31.0,0.0,0.0,40.651773,-75.442797,28.429399490356445,-81.30899810791016,249NV
-14.0,OH,5502,2024,9,15,7,ABE,CLT,2,3,1033,1147,114.0,1.0,-5.0,-23.0,70.0,0.0,26.1,0.0,9.4,26.7,0.0,27.7,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N529EA
-6.0,9E,5246,2024,9,15,7,ABE,ATL,2,3,1070,1202,132.0,1.0,-4.0,-20.0,40.0,0.0,26.1,0.0,9.4,25.0,0.0,16.6,40.651773,-75.442797,33.6367,-84.428101,N303PQ
-12.0,MQ,3726,2024,9,15,7,ABI,DFW,2,3,311,370,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N257NN
-6.0,MQ,3647,2024,9,15,7,ABI,DFW,2,3,508,567,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N240NN
-7.0,MQ,4039,2024,9,15,7,ABI,DFW,2,3,591,651,60.0,1.0,-4.0,-15.0,33.0,0.0,0.0,0.0,0.0,23.9,0.0,16.6,32.4113006592,-99.6819000244,32.896801,-97.038002,N267NN
69.0,MQ,3468,2024,9,15,7,ABI,DFW,2,3,843,905,62.0,1.0,15.0,2.0,70.0,0.0,24.4,0.0,9.4,27.2,0.0,22.3,32.4113006592,-99.6819000244,32.896801,-97.038002,N226NN
-13.0,MQ,3380,2024,9,15,7,ABI,DFW,2,3,1092,1152,60.0,1.0,-6.0,-15.0,70.0,0.0,33.3,0.0,5.4,33.3,0.0,13.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N789SS
-8.0,MQ,3535,2024,9,15,7,ABQ,DFW,3,3,300,464,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N261NN
-13.0,DL,2007,2024,9,15,7,ABQ,SLC,3,3,320,418,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N363NB
-4.0,WN,3887,2024,9,15,7,ABQ,DAL,3,3,325,490,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N8754S
0.0,WN,3574,2024,9,15,7,ABQ,DEN,3,3,340,420,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N455WN
-10.0,NK,1468,2024,9,15,7,ABQ,LAS,3,3,345,382,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,36.083361,-115.151817,N629NK
-9.0,OO,4115,2024,9,15,7,ABQ,LAX,3,3,360,430,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N281SY
-6.0,AA,2335,2024,9,15,7,ABQ,DFW,3,3,360,530,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N870NN
